citing_work_id,title,doi,year,publication_date,publication_metadata_note,type,authors,institutions,countries,states_provinces,cited_target_ids,is_direct_self_citation,has_coauthor_overlap,is_non_research_record,authorships_truncated,geography_complete,is_retracted,source,source_url
W7172428666,Discrete-time Optimal Formation Control of Unmanned Vehicles Based on Policy Gradient Adaptive Dynamic Programming,10.1109/yac71005.2026.11615894,2026,2026-05-01,,conference-paper,"[""Wangyu Cao"", ""Zhe Zhou"", ""Yuxuan Wu"", ""Zhuoyan Ji"", ""Zhengtao Ye"", ""Shixun Xiong""]","[""Nanjing University of Posts and Telecommunications""]","[""CN""]","[""Jiangsu""]","[""W4388579581"", ""W4393188243""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W7172428666
W7154605970,Economic dispatch method for islanded microgrids based on BO-DW-TD3,10.1016/j.egyr.2026.109331,2026,2026-04-16,,article,"[""Long Cheng"", ""B Zhang"", ""Jun Yang"", ""Bo Liu""]","[""Hunan Agricultural University"", ""Hunan University""]","[""CN""]","[""Hunan""]","[""W4413754711""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7154605970
W7160960716,Energy consumption prediction of hydraulic systems based on Archimedes Algorithm-Optimized Multi-Level information fusion,10.1016/j.eswa.2026.132810,2026,2026-05-12,,article,"[""Qing Pan"", ""Yifei Zhai"", ""Chenyang Wen"", ""Yuliang Wan"", ""Yibo Li"", ""Minghui Huang""]","[""Central South University""]","[""CN""]","[""Hunan""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7160960716
W7166318156,Fixed-Interval Sampling for Water Distribution System Monitoring: An Adaptive Strategy through Time-Frequency Analysis,10.1061/jwrmd5.wreng-7312,2026,2026-06-27,,article,"[""Shaosong Wei"", ""Zhigang Liu"", ""Jie Fei"", ""Tingchao Yu"", ""Avi Ostfeld"", ""Shipeng Chu""]","[""Ningxia Water Conservancy"", ""Technion – Israel Institute of Technology"", ""Zhejiang University""]","[""CN"", ""IL""]","[""Haifa"", ""Ningxia"", ""Zhejiang""]","[""W4376479136""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7166318156
W7124941333,Reinforcement learning-based fault-tolerant control of nonlinear servo systems with performance guarantees,10.1007/s11071-025-11983-7,2026,2026-01-01,,article,"[""Ning Xie"", ""Shaoyu Lv"", ""Zhengguo Huang"", ""Hao Shen""]","[""Anhui University of Technology""]","[""CN""]","[""Anhui""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7124941333
W7117985712,Secure Management of a Water Distribution Network in Multi-tenant Scenarios,10.1007/978-3-032-13744-9_8,2026,2026-01-01,,conference-paper,"[""Pierluigi Locatelli"", ""Tiziana Cattai"", ""Pietro Spadaccino"", ""Francesca Cuomo""]","[""Sapienza University of Rome""]","[""IT""]","[""Lazio""]","[""W3202625584""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7117985712
W7155051385,Sustainable Water Allocation in Karst Regions: A Multi-Objective Framework Integrating Ecological Flow and Intelligent Demand Forecasting,10.3390/su18084108,2026,2026-04-21,,article,"[""Yunfa Gao"", ""Ming Zhong"", ""Jie Xu"", ""Guang Yang""]","[""Guizhou Water Conservancy and Hydropower Survey and Design Institute"", ""Nanjing Hydraulic Research Institute""]","[""CN""]","[""Guizhou"", ""Jiangsu""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7155051385
W7163748389,Unified Loss-Level Regularization for Spike-Aware and Anti-Lag Time Series Forecasting,10.1007/978-981-92-1462-4_21,2026,2026-01-01,,conference-paper,"[""Faiza Afzal"", ""EunSol Hyun"", ""A-Hyun Jo"", ""Jae‐Joong Kim"", ""Kyuchang Chang""]","[""Jeju National University""]","[""KR""]","[""Jeju-do""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7163748389
W4411018076,A novel distributed fine-grained energy consumption monitoring for large-scale nonlinear dynamic industrial processes,10.1080/00207543.2025.2513577,2025,2025-06-04,,article,"[""Kaixiang Peng"", ""Yujie Wei"", ""Tie Li"", ""Qin Xin"", ""Jie Dong""]","[""University of Science and Technology Beijing""]","[""CN""]","[""Beijing""]","[""W4388740257""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4411018076
W4416202049,Accelerated Intelligent Critic Tracking Predictive Control With Data Experience Replay for Unknown Nonlinear Systems,10.1109/tcyb.2025.3623591,2025,2025-11-12,,article,"[""Ding Wang"", ""Peng Xin"", ""Hua Wang"", ""Ao Liu"", ""Junfei Qiao""]","[""Beijing University of Technology"", ""Zhengzhou University""]","[""CN""]","[""Beijing"", ""Henan""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4416202049
W4411055426,Adaptive Secure Finite-Time Optimal Control of Unknown Nonlinear Systems With State Constraints via Generalized Fuzzy Hyperbolic Models,10.1109/tnnls.2025.3565622,2025,2025-06-05,,article,"[""Hanguang Su"", ""Yi Cui"", ""Huaguang Zhang"", ""Xiangpeng Xie"", ""Xiaodong Liang"", ""Jiawei Wang""]","[""Nanjing University of Posts and Telecommunications"", ""Northeastern University"", ""State Key Laboratory of Synthetical Automation for Process Industries"", ""University of Saskatchewan""]","[""CA"", ""CN""]","[""Jiangsu"", ""Liaoning"", ""Saskatchewan""]","[""W4388579581""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4411055426
W4408960580,Adaptive sparse lightweight multi-scale hybrid network for remote sensing image semantic segmentation,10.1016/j.eswa.2025.127347,2025,2025-03-29,,article,"[""Haonan Sun"", ""Xiaohui He"", ""Haofei Li"", ""Jinlan Kong"", ""Mengjia Qiao"", ""Xijie Cheng"", ""Panle Li"", ""Jian Zhang"", ""Renyi Liu"", ""Jiandong Shang""]","[""Zhejiang University"", ""Zhengzhou University""]","[""CN""]","[""Henan"", ""Zhejiang""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4408960580
W6903285081,An Automated Mechanical Property Testing System Based on Electric Field Assistance and Non-Contact Signal Measurement,10.1109/tim.2025.3548247,2025,2025-01-01,,article,"[""Xiaochuan Liu"", ""Ming Ming"", ""Lihua Du"", ""Huiyuan Xu"", ""Chenyu Li"", ""Shengzhe Li"", ""Denis J. Politis"", ""Di Zhang"", ""Heli Liu"", ""Xuefeng Chen""]","[""AviChina Industry & Technology (China)"", ""Imperial College London"", ""University of Cyprus"", ""Xi'an Jiaotong University""]","[""CN"", ""CY"", ""GB""]","[""Beijing"", ""England"", ""Nicosia"", ""Shaanxi""]","[""W4316660809""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W6903285081
W4416427853,Cross-task interactive attention for typhoon intensity and track forecasting,10.1016/j.eswa.2025.130501,2025,2025-11-20,,article,"[""Wenhui Li"", ""Jingyi Wang"", ""Yue Li"", ""Dan Song"", ""Xuan Peng"", ""Zhiqiang Wei"", ""An-An Liu""]","[""China Meteorological Administration"", ""National University of Defense Technology"", ""Ocean University of China"", ""Tianjin University""]","[""CN""]","[""Beijing"", ""Hunan"", ""Shandong"", ""Tianjin""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4416427853
W4413754711,End-to-End Stochastic Predict-Then-Optimize for Cost-Efficient Water-Energy Resource Scheduling,10.1109/tsg.2025.3601238,2025,2025-08-27,,article,"[""Shunyu Wu"", ""Jingcheng Wang"", ""Haotian Xu"", ""Yanjiu Zhong"", ""Jun Rao""]","[""Hefei University of Technology"", ""Ministry of Education of the People's Republic of China"", ""Shandong University"", ""Shanghai Jiao Tong University""]","[""CN""]","[""Anhui"", ""Beijing"", ""Shandong"", ""Shanghai""]","[""W4376479136"", ""W4399709078""]",True,True,False,,True,False,OpenAlex,https://openalex.org/W4413754711
W4414533421,Fixed-time learning-based optimal tracking control for robotic systems with prescribed performance constraints,10.1016/j.neunet.2025.108130,2025,2025-09-22,,article,"[""Zhinan Peng"", ""Xingyu Zhang"", ""Zhuo Xia"", ""Hao Lin"", ""Linpu He"", ""Hong Cheng""]","[""University of Electronic Science and Technology of China""]","[""CN""]","[""Sichuan""]","[""W4393188243""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4414533421
W4407019097,"Machine learning for smart water distribution systems: exploring applications, challenges and future perspectives",10.1007/s10462-024-11093-7,2025,2025-01-31,,article,"[""Redemptor Jr Laceda Taloma"", ""Francesca Cuomo"", ""Danilo Comminiello"", ""P. Pisani""]","[""Consorzio Nazionale Interuniversitario per le Telecomunicazioni"", ""Sapienza University of Rome""]","[""IT""]","[""Emilia-Romagna"", ""Lazio""]","[""W3202625584""]",False,False,False,,False,False,Google Scholar; OpenAlex,https://openalex.org/W4407019097
W4406802685,Mechanism- and data-driven algorithms of electrical energy consumption accounting and prediction for medium and heavy plate rolling,10.3934/era.2025019,2025,2025-01-01,,article,"[""Qiang Guo"", ""Zimeng Zhou"", ""Jie Li"", ""Fengwei Jing""]","[""University of Science and Technology Beijing""]","[""CN""]","[""Beijing""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4406802685
W4415220578,Multi-objective load distribution in strip hot rolling with multiple roller profiles based on RPK-Net and a distributed TDADE algorithm,10.1016/j.eswa.2025.130016,2025,2025-10-15,,article,"[""Yanjiu Zhong"", ""Qiang Zhang"", ""Shuai Chen"", ""Keke Li"", ""Daye Yang"", ""Linghui Hu""]","[""Anhui University"", ""Hefei University of Technology"", ""Shanghai Jiao Tong University"", ""Zhejiang Energy Group (China)""]","[""CN""]","[""Anhui"", ""Shanghai"", ""Zhejiang""]","[""W4316660809"", ""W4388740257""]",False,True,False,,True,False,OpenAlex,https://openalex.org/W4415220578
W4415624368,Observer-Based Fuzzy Boundary Dissipative Control of Parabolic PDE System With Parameter Uncertainties Under Dynamic Quantization,10.1109/tsmc.2025.3622967,2025,2025-10-28,,article,"[""Teng‐Fei Li"", ""Xiao‐Heng Chang"", ""Ju H. Park""]","[""Foshan University"", ""Wuhan University of Science and Technology"", ""Yeungnam University""]","[""CN"", ""KR""]","[""Daegu"", ""Guangdong"", ""Hubei""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4415624368
W4412533860,Optimizing supply chain operations using advanced Time-Series Mixer models for demand forecasting and inventory under uncertain demand,10.1016/j.eswa.2025.128955,2025,2025-07-21,,article,"[""Thị Ngọc Anh Nguyễn"", ""Thị Ngọc Anh Nguyễn"", ""Thi Xuan Hoa Nguyen"", ""Thi Xuan Hoa Nguyen"", ""Ngoc Thang Tran"", ""Thi Ha Nguyen"", ""Thi Ha Nguyen"", ""Phuong Anh Nguyen"", ""Hai Anh Vu""]","[""Hanoi University of Science and Technology""]","[""VN""]","[""Hanoi""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4412533860
W4409524339,Physics-informed generative regression for industrial process modeling in steel strip rolling,10.1016/j.eswa.2025.127713,2025,2025-04-17,,article,"[""Jifei Deng"", ""Seppo Sierla"", ""Jie Sun"", ""Valeriy Vyatkin""]","[""Aalto University"", ""Luleå University of Technology"", ""Northeastern University""]","[""CN"", ""FI"", ""SE""]","[""Liaoning"", ""Norrbotten"", ""Uusimaa""]","[""W4388740257""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4409524339
W4412985535,Q-Learning Controller Design for Discrete-Time Nonlinear Systems with State and Input Constraints,10.1109/ccdc65474.2025.11090207,2025,2025-05-16,,conference-paper,"[""Gang Chen"", ""Wei Luo"", ""Yonggang Chen"", ""Feng Guo""]","[""Chongqing University"", ""Goldwind (China)""]","[""CN""]","[""Chongqing"", ""Xinjiang""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4412985535
W4412072274,Quantized dissipative control for fuzzy hot strip mill cooling system under input constraint via dynamic output feedback approach,10.1016/j.amc.2025.129615,2025,2025-07-07,,article,"[""Teng‐Fei Li"", ""Liming Ding"", ""Xiong Jun"", ""Haibing Li""]","[""Foshan University"", ""Huaihua University"", ""Wuhan University of Science and Technology""]","[""CN""]","[""Guangdong"", ""Hubei"", ""Hunan""]","[""W4316660809""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W4412072274
W4407865237,Rapid dynamical learning from neural control of sampled-data nonlinear systems via pseudo-inverse regression filter vector signal,10.1016/j.jfranklin.2025.107585,2025,2025-02-19,,article,"[""Dengxiang Liang"", ""Min Wang""]","[""South China University of Technology""]","[""CN""]","[""Guangdong""]","[""W4388579581""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4407865237
W4410770862,Reinforcement Learning-Based Dynamic Programming Control for Robust Disturbance Rejection and Error Minimization in Dynamic Systems,10.1109/cacml64929.2025.11010957,2025,2025-03-28,,conference-paper,"[""Amoh Mensah Akwasi"", ""Haoyong Chen"", ""Junfeng Liu""]","[""South China University of Technology""]","[""CN""]","[""Guangdong""]","[""W4388579581""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4410770862
W4416747394,STRNet: dual-branch synergistic network with interactive fusion for remote sensing semantic segmentation,10.1007/s40747-025-02181-4,2025,2025-11-27,,article,"[""Minjun Zhai"", ""Donghua Chen"", ""Yibo Duan"", ""Qihang Zhen"", ""Jian Zheng"", ""Minmin Pei"", ""Xing Guo""]","[""Anhui Normal University"", ""Anhui University"", ""Chuzhou University"", ""Fujian Normal University"", ""Xinjiang Normal University""]","[""CN""]","[""Anhui"", ""Fujian"", ""Xinjiang""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4416747394
W4410226400,Single-Period Optimal Inventory Control With Substitution: An End-to-End Framework,10.1109/tase.2025.3568642,2025,2025-01-01,,article,"[""Yuewei Zhang"", ""Hailei Gong"", ""Zhihai Zhang""]","[""Tsinghua University""]","[""CN""]","[""Beijing""]","[""W4388740257""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4410226400
W7160597376,Smart City Energy Consumption Prediction Using Machine Learning,10.1109/icbiti65527.2025.11500812,2025,2025-04-16,,conference-paper,"[""Ghassan Issa"", ""Channaganu Paramaiah"", ""Khalid Almaazmi"", ""Ayman AbuBaker""]","[""Applied Science Private University"", ""Skyline University College""]","[""AE"", ""JO""]","[""Amman"", ""Emirate of Sharjah""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W7160597376
W7114924552,Theory and construction of machine learning-driven CFD agent model: a bayesian-optimized CNN-LSTM framework,10.1016/j.jtice.2025.106577,2025,2025-12-12,,article,"[""Chunmao Pan"", ""Lingxing Hu"", ""Facheng Qiu"", ""Zhiliang Cheng"", ""Zhongjun Li"", ""Lanfeng Guo""]",[],[],[],"[""W4388740257""]",False,False,False,,False,False,OpenAlex,https://openalex.org/W7114924552
W4408973948,Tracking control for nonlinear multi-agent systems: a first-order DPG framework with initial admissible control policy method,10.1007/s11071-025-11097-0,2025,2025-03-27,,article,"[""Jun Rao"", ""Jingcheng Wang"", ""Jiahui Xu"", ""Yanjiu Zhong""]","[""Shanghai Jiao Tong University""]","[""CN""]","[""Shanghai""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4408973948
W4412605216,Two-Loop Online Data-Driven Control for Oral Implantation Robots in Human–Robot Interaction,10.1109/tie.2025.3587116,2025,2025-07-23,,article,"[""Peng Chen"", ""Qiang Chen"", ""Chenguang Yang"", ""Xiongxiong He""]","[""University of Liverpool"", ""Zhejiang University of Technology""]","[""CN"", ""GB""]","[""England"", ""Zhejiang""]","[""W4390829281""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4412605216
W4402577629,A Diversified Integrated Model for Seasonal Product Demand Prediction,10.21203/rs.3.rs-4897840/v1,2024,2024-09-18,,preprint,"[""Bin Liu"", ""Hao Ding"", ""Yun Qiaoyun""]","[""University of Shanghai for Science and Technology""]","[""CN""]","[""Shanghai""]","[""W4399709078""]",False,False,False,,False,False,OpenAlex,https://openalex.org/W4402577629
W4404563370,A Reinforcement Learning-Based Multistep Prediction Strategy for Burn-Through Point Using State Feature Extractor,10.1109/tim.2024.3502771,2024,2024-11-20,,article,"[""Junjin Mu"", ""Chunjie Yang"", ""Yan Feng"", ""Chong Yang"", ""Tao Lin""]","[""Hainan University"", ""State Key Laboratory of Industrial Control Technology"", ""University of Science and Technology Beijing""]","[""CN""]","[""Beijing"", ""Hainan"", ""Zhejiang""]","[""W4388740257""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4404563370
W4400584655,Editorial to the Special Issue “Systems Engineering and Knowledge Management”,10.3390/info15070402,2024,2024-07-12,,editorial,"[""Vladimír Bureš""]","[""University of Hradec Králové""]","[""CZ""]","[""Hradec Králové""]","[""W4399709078""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4400584655
W4402810904,Energy Consumption Prediction for Manufacturing in Industrial IoT Based on Heterogeneous GNN,10.1109/iccc62479.2024.10681781,2024,2024-08-07,,conference-paper,"[""Xuan Su"", ""Mingyan Li"", ""Qihao Li"", ""Chao Chen"", ""Songtao Guo"", ""Xu Wang""]","[""Chongqing University"", ""Jilin University""]","[""CN""]","[""Chongqing"", ""Jilin""]","[""W4316660809""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4402810904
W4397026601,Fuzzy-Based Optimal Control for Stochastic Nonlinear Systems With Constrained Inputs via Dynamic Event-Triggering,10.1109/tfuzz.2024.3402348,2024,2024-05-17,,article,"[""Chenyi Si"", ""Chaoxu Mu"", ""Ke Wang"", ""Song Zhu"", ""Jinpeng Yu""]","[""China University of Mining and Technology"", ""Qingdao University"", ""Tianjin University""]","[""CN""]","[""Jiangsu"", ""Shandong"", ""Tianjin""]","[""W4390829281""]",False,False,False,,True,False,Google Scholar; OpenAlex,https://openalex.org/W4397026601
W4405421706,Hybrid prediction model for strip width based on improved mechanism and data-driven model,10.1007/s42243-024-01400-5,2024,2024-12-16,,article,"[""Jia-liang Wang"", ""Jingcheng Wang"", ""Chaobo Chen"", ""Kangbo Dang"", ""Song Gao""]","[""Shanghai Jiao Tong University"", ""Xi'an Technological University""]","[""CN""]","[""Shaanxi"", ""Shanghai""]","[""W4316660809""]",False,True,False,,True,False,OpenAlex,https://openalex.org/W4405421706
W4396930200,Observer-based dual-dynamic event-triggered mechanism design for balance control of motion robots,10.3934/dcdss.2024071,2024,2024-01-01,,article,"[""Shouzhuan Chen"", ""Yiming Yang"", ""Shuxian Zhu"", ""Baoping Jiang""]","[""Suzhou University of Science and Technology""]","[""CN""]","[""Jiangsu""]","[""W4388579581""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4396930200
W4393188243,Parallel Cross Entropy Policy Gradient Adaptive Dynamic Programming for Optimal Tracking Control of Discrete-Time Nonlinear Systems,10.1109/tsmc.2024.3373456,2024,2024-03-26,,article,"[""Jiahui Xu"", ""Jingcheng Wang"", ""Jun Rao"", ""Yanjiu Zhong"", ""Shunyu Wu"", ""Qifang Sun""]","[""Shanghai Jiao Tong University""]","[""CN""]","[""Shanghai""]","[""W4388579581"", ""W4390829281""]",True,True,False,,True,False,OpenAlex,https://openalex.org/W4393188243
W4396985488,Table of Contents,10.1109/tsmc.2024.3395718,2024,2024-05-16,,paratext,[],[],[],[],"[""W4393188243""]",False,False,True,,False,False,OpenAlex,https://openalex.org/W4396985488
W4388740257,A Novel Series-Concatenation Hybrid Prediction Model of Energy Consumption in Hot Strip Roughing Process With Multi-Step Rolling,10.1109/tase.2023.3299185,2023,2023-11-16,,article,"[""Yanjiu Zhong"", ""Jingcheng Wang"", ""Jun Rao"", ""Jiahui Xu"", ""Shunyu Wu""]","[""Shanghai Jiao Tong University""]","[""CN""]","[""Shanghai""]","[""W4316660809""]",True,True,False,,True,False,OpenAlex,https://openalex.org/W4388740257
W4388562407,Model-free adaptive dynamic event-triggered robust control for unknown nonlinear systems using iterative neural dynamic programming,10.1016/j.ins.2023.119866,2023,2023-11-10,,article,"[""Xin Tong"", ""Dazhong Ma"", ""Zhanshan Wang"", ""Zhongyang Ming"", ""Xiangpeng Xie""]","[""Nanjing University of Posts and Telecommunications"", ""Northeastern University""]","[""CN""]","[""Jiangsu"", ""Liaoning""]","[""W4388579581""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4388562407
W4391095559,Prediction of Strip Width in Finishing-Mill Group Based on PCA-PSO-LightGBM,10.1109/icicsp59554.2023.10390590,2023,2023-09-23,,conference-paper,"[""Jialiang Wang"", ""Runyun Yao"", ""Jingcheng Wang"", ""Jichao Li""]","[""Shanghai Jiao Tong University"", ""Xi'an Technological University""]","[""CN""]","[""Shaanxi"", ""Shanghai""]","[""W4316660809""]",False,True,False,,False,False,OpenAlex,https://openalex.org/W4391095559
W4313043169,Embedded Real-Time Speed Forecasting for Electric Vehicles: A Case Study on RSK Urban Roads,10.1109/access.2022.3225643,2022,2022-01-01,,article,"[""Y. NaitMalek"", ""Mehdi Najib"", ""Mohamed Bakhouya"", ""Jaafar Gaber"", ""Mohamed Essaaidi""]","[""Centre National de la Recherche Scientifique"", ""Franche-Comté Électronique Mécanique Thermique et Optique - Sciences et Technologies"", ""International University of Rabat"", ""Mohammed V University"", ""Université de technologie de belfort-montbéliard""]","[""FR"", ""MA""]","[""Bourgogne-Franche-Comté"", ""Rabat-Salé-Kénitra"", ""Île-de-France""]","[""W3202625584""]",False,False,False,,True,False,OpenAlex,https://openalex.org/W4313043169
